date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:56	30212/30212	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202017%2010:42:51%20GMT	http://mirror.corenoc.de/digitalrivercontent.net/	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/index.html	(from )
16:13:42	0/-1	---M--	204	error ('No%20Content')	text/html	date:Sun,%2019%20Mar%202017%2010:42:51%20GMT	http://mirror.corenoc.de/robots.txt		(from )
16:13:44	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2019%20Mar%202017%2010:43:37%20GMT	http://s3.amazonaws.com/cc.silktide.com/cookieconsent.latest.min.js	C:/My%20Web%20Sites/Windows%207/s3.amazonaws.com/cc.silktide.com/cookieconsent.latest.min.0.delayed	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:46	42151/42151	---MC-	200	added ('OK')	text/javascript	date:Sun,%2019%20Mar%202017%2010:09:52%20GMT	http://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/Windows%207/pagead2.googlesyndication.com/pagead/f.txt	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:46	12442/12442	---MCZ	200	added ('OK')	text/plain	etag:W/%2255ca5010-309a%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_starter_with_sp1_x86_dvd_u_678545.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_starter_with_sp1_x86_dvd_u_678545.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:47	11024/11024	---MCZ	200	added ('OK')	text/plain	etag:W/%2255ca4ec6-2b10%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_starter_n_with_sp1_x86_dvd_u_678311.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_starter_n_with_sp1_x86_dvd_u_678311.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:50	24445/24445	---MCZ	200	added ('OK')	text/plain	etag:W/%22553ffe77-5f7d%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_home_basic_with_sp1_x86_dvd_u_676467.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_home_basic_with_sp1_x86_dvd_u_676467.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:51	24447/24447	---MCZ	200	added ('OK')	text/plain	etag:W/%22553ffeba-5f7f%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_home_premium_with_sp1_x86_dvd_u_676687.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_home_premium_with_sp1_x86_dvd_u_676687.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:51	23965/23965	---MCZ	200	added ('OK')	text/plain	etag:W/%225540d840-5d9d%22	http://mirror.corenoc.de/digitalrivercontent.net/X15-65812.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/X15-65812.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
16:13:52	31687/31687	---M--	200	added ('OK')	application/octet-stream	etag:%22553ffe9e-7bc7%22	http://mirror.corenoc.de/digitalrivercontent.net/de_windows_7_home_premium_with_sp1_x64_dvd_u_676536.iso.torrent	C:/My%20Web%20Sites/Windows%207/mirror.corenoc.de/digitalrivercontent.net/de_windows_7_home_premium_with_sp1_x64_dvd_u_676536.iso.torrent	(from http://mirror.corenoc.de/digitalrivercontent.net/)
